house_num,house_group,year,week,location,period,mean,std,median,min,max,q25,q75,iqr,n_points,hours,pct_below_12,pct_12_to_18,pct_18_to_24,pct_above_24,pct_above_28,minutes_below_12,minutes_in_who,minutes_above_24,range,cv,extreme_cold_events,extreme_hot_events
3,active,2008,2,living,overall,17.52875609756098,2.9847615553760947,17.2,10.7,25.2,15.7,19.39,3.6900000000000013,4920,164.0,3.536585365853658,55.630081300813,38.61788617886179,2.215447154471545,0.0,348,3800,218,14.5,17.027800140315755,1,0
3,active,2008,2,living,day,23.484,0.9325625839443558,23.8,21.65,25.1,22.825000000000003,24.1,1.2749999999999986,75,2.5,0.0,0.0,69.33333333333334,30.666666666666664,0.0,0,104,46,3.450000000000003,3.971055118141525,0,0
4,active,2008,2,living,overall,16.60054714314557,2.742942493981821,16.89,7.5,23.0,15.1,18.6,3.5000000000000018,4953,165.1,4.845548152634767,59.055118110236215,36.099333737129015,0.0,0.0,480,3576,0,15.5,16.523205351785002,2,0
4,active,2008,2,living,day,17.53591259640103,2.700977380362359,17.89,7.5,23.0,16.0,19.2,3.1999999999999993,1945,64.83333333333333,2.7249357326478147,49.254498714652954,48.02056555269923,0.0,0.0,106,1868,0,15.5,15.402548145208547,1,0
4,active,2008,2,living,night,15.996274247491636,2.6042261696767803,16.2,7.7,20.2,14.5,18.2,3.6999999999999993,2990,99.66666666666667,6.254180602006689,65.18394648829432,28.561872909698998,0.0,0.0,374,1708,0,12.5,16.280204561291185,2,0
5,control,2008,2,living,overall,16.179539591188732,1.9234837417080592,16.2,10.1,21.1,14.8,17.6,2.8000000000000007,5039,167.96666666666667,2.897400277832903,77.97181980551697,19.130779916650127,0.0,0.0,292,1928,0,11.000000000000002,11.88837130294842,1,0
5,control,2008,2,living,day,16.486933461909356,1.8089070368667166,16.8,10.1,19.9,15.0,18.0,3.0,2074,69.13333333333334,1.446480231436837,72.37222757955641,26.18129218900675,0.0,0.0,60,1086,0,9.799999999999999,10.971761613801204,1,0
5,control,2008,2,living,night,15.96451939291737,1.971740929798473,16.1,10.1,21.1,14.7,17.3,2.6000000000000014,2965,98.83333333333333,3.912310286677909,81.88870151770658,14.198988195615513,0.0,0.0,232,842,0,11.000000000000002,12.350769110363775,1,0
6,active,2008,2,living,overall,16.041125920031828,2.9603483244388795,16.0,8.9,25.6,14.0,18.2,4.199999999999999,5027,167.56666666666666,7.499502685498309,64.57131489954247,26.218420529142627,1.7107618858165905,0.0,754,2636,172,16.700000000000003,18.454741513761558,2,0
6,active,2008,2,living,day,17.534857142857145,0.8049443996590342,18.0,15.9,18.7,16.7,18.2,1.5,70,2.3333333333333335,0.0,48.57142857142857,51.42857142857142,0.0,0.0,0,72,0,2.799999999999999,4.590538680190672,0,0
