house_num,week,year,hours_above_18,pct_time_above_18,max_temp,mean_temp,median_temp,min_temp,std_temp,total_hours_monitored,daytime_hours_above_18,daytime_pct_above_18,daytime_mean_temp,daytime_max_temp,longest_period_above_18_hours,num_periods_above_18,avg_period_above_18_hours,approx_date
24,2,2008,166.66666666666666,100.0,31.2,27.734509999999997,27.7,25.4,0.32028905213163805,166.66666666666666,81.5,100.0,27.770572597137008,31.2,,1,,2008-08-22
25,2,2008,43.233333333333334,29.497384580395725,34.0,16.452478962929266,15.4,4.0,5.759300801197745,146.56666666666666,40.96666666666667,56.016408386508665,19.646558796718324,34.0,9.566666666666666,7,6.142857142857142,2008-08-22
26,2,2008,88.33333333333333,50.97134064243124,41.0,20.499884593191,18.2,9.4,8.07591017234137,173.3,1.4333333333333333,100.0,19.57325581395349,22.1,,11,,2008-08-22
27,2,2008,77.93333333333334,44.97018657434122,39.7,18.863541065589537,16.9,5.2,8.636867227851749,173.3,68.26666666666667,73.29992841803865,23.845347172512525,39.7,13.233333333333333,10,8.073333333333332,2008-08-22
28,2,2008,65.3,39.81707317073171,35.7,17.033353658536587,15.9,6.0,6.968611583437559,164.0,55.0,65.14015001973944,20.78197789182787,35.7,12.066666666666666,11,,2008-08-22
29,2,2008,79.03333333333333,45.60492402385074,50.2,19.49855741488748,16.1,4.9,10.477105981432747,173.3,72.63333333333334,77.02368328031106,26.01961823966066,50.2,11.733333333333333,11,7.196969696969697,2008-08-22
30,2,2008,69.06666666666666,45.850851958397875,42.9,19.30641734897101,16.2,4.2,10.332623019934724,150.63333333333333,64.0,77.29468599033817,25.76145330112721,42.9,11.0,8,,2008-08-22
1,1,2009,0.06666666666666667,0.03910833007430582,18.0,9.72706296441142,10.1,2.1,3.9035253511873975,170.46666666666667,0.06666666666666667,0.09950248756218905,12.034402985074628,18.0,0.0,2,0.0,2009-06-15
2,1,2009,0.0,0.0,17.6,11.277927400468384,11.4,5.3,3.076780444136951,170.8,0.0,0.0,12.513786213786213,17.6,0.0,0,0.0,2009-06-15
3,1,2009,0.7333333333333333,0.42910083869709387,18.9,8.064725960600741,7.5,0.2,4.315405539318597,170.9,0.7333333333333333,1.0945273631840797,11.153805970149254,18.9,0.7,1,0.7,2009-06-15
5,1,2009,0.0,0.0,17.0,8.839585429663915,8.9,0.8,4.179031858667973,165.63333333333333,0.0,0.0,12.20913612565445,17.0,0.0,0,0.0,2009-06-15
6,1,2009,17.9,16.22356495468278,24.8,12.130604229607249,11.2,2.3,5.072195010218012,110.33333333333333,,,,,,5,,2009-06-15
7,1,2009,7.566666666666666,8.7442218798151,21.5,10.530758859784283,10.6,1.3,4.813778250232038,86.53333333333333,7.566666666666666,27.18562874251497,14.758922155688623,21.5,4.733333333333333,2,3.75,2009-06-15
8,1,2009,6.566666666666666,3.8979026513652553,20.4,11.111189157103285,11.0,1.6,3.6954548104822242,168.46666666666667,6.566666666666666,10.233766233766234,13.686805194805194,20.4,4.266666666666667,4,1.6083333333333334,2009-06-15
9,1,2009,4.866666666666666,12.564543889845096,21.1,10.743330464716006,10.9,3.0,5.018593405366753,38.733333333333334,4.866666666666666,51.77304964539007,16.886879432624117,21.1,3.8666666666666667,3,1.5888888888888888,2009-06-15
10,1,2009,0.0,0.0,14.5,5.836363636363636,5.2,3.2,2.374957088825595,13.2,,,,,0.0,0,0.0,2009-06-15
11,1,2009,9.966666666666667,9.06335253107002,24.2,11.560548651106396,12.4,-1.4,5.026510613429538,109.96666666666667,9.666666666666666,26.851851851851855,14.470694444444446,24.2,5.566666666666666,2,4.95,2009-06-15
12,1,2009,33.56666666666667,20.123900879296563,28.4,14.310771382893684,13.8,6.7,4.346077294731576,166.8,33.56666666666667,52.17616580310881,18.080336787564768,28.4,7.1,10,3.3233333333333333,2009-06-15
13,1,2009,5.766666666666667,4.972693302673182,19.7,12.053808565679793,12.0,6.7,2.8554326134844916,115.96666666666667,5.766666666666667,13.730158730158731,14.420674603174602,19.7,4.733333333333333,4,1.4083333333333334,2009-06-15
14,1,2009,21.666666666666668,12.878937982960172,21.4,13.383703190013867,13.0,8.3,3.378915121369501,168.23333333333332,16.7,28.547008547008545,15.9294301994302,21.3,5.133333333333334,7,,2009-06-15
15,1,2009,16.166666666666668,10.258037225042301,24.4,13.47418570219966,13.1,6.1,3.6086397590665342,157.6,16.166666666666668,29.059316956261235,16.521749550629117,24.4,6.4,7,2.2761904761904765,2009-06-15
16,1,2009,21.9,13.007325282122354,23.8,11.422718273609185,11.5,1.2,5.025586327609753,168.36666666666667,21.9,32.03315455875183,15.344734275962944,23.8,5.033333333333333,7,3.0952380952380953,2009-06-15
17,1,2009,12.8,7.6326774001192605,22.7,11.122232160604254,10.6,3.3,3.9744177170285835,167.7,12.8,19.591836734693878,14.317857142857143,22.7,5.766666666666667,4,3.1666666666666665,2009-06-15
18,1,2009,40.53333333333333,24.223107569721115,29.8,15.776304780876497,14.5,9.4,4.028630574571567,167.33333333333334,39.4,54.72222222222223,18.562175925925928,29.8,7.866666666666666,10,,2009-06-15
19,1,2009,37.166666666666664,22.211155378486055,26.9,11.972141434262946,10.8,0.0,6.550428950995239,167.33333333333334,37.03333333333333,53.67149758454106,17.039106280193234,26.9,6.533333333333333,7,5.276190476190476,2009-06-15
20,1,2009,40.8,24.494696818090855,30.9,12.74638783269962,11.4,1.3,6.681996237581348,166.56666666666666,40.8,59.35984481086324,18.295174587778856,30.9,6.633333333333334,7,,2009-06-15
21,1,2009,0.7333333333333333,0.42910083869709387,18.9,8.06479422664326,7.5,0.2,4.316001028346641,170.9,0.7333333333333333,1.0945273631840797,11.151990049751245,18.9,0.7,1,0.7,2009-06-15
22,1,2009,18.766666666666666,11.100157728706625,20.0,14.215447555205047,14.0,9.4,2.4546476823243504,169.06666666666666,18.766666666666666,27.01535508637236,15.860676583493284,20.0,4.866666666666666,14,1.3071428571428572,2009-06-15
23,1,2009,45.166666666666664,26.50625978090767,24.5,16.683881064162755,16.4,10.7,2.63059697819486,170.4,40.166666666666664,56.17715617715617,18.437738927738927,24.5,11.4,7,6.419047619047619,2009-06-15
24,1,2009,53.06666666666667,31.71946602908946,30.5,17.77883044431162,16.1,11.1,3.8537279688133426,167.3,48.9,68.90558947862846,20.85138562705496,30.5,10.2,8,,2009-06-15
25,1,2009,35.53333333333333,21.171797418073485,27.9,12.641817279046673,11.5,2.3,5.916630314401411,167.83333333333334,35.53333333333333,51.62227602905569,17.724067796610168,27.9,6.866666666666666,8,4.408333333333333,2009-06-15
26,1,2009,64.26666666666667,37.982663514578405,30.5,17.982850669818756,16.3,12.2,4.619761038129596,169.2,58.13333333333333,77.82240071396697,21.770013386880855,30.5,13.433333333333334,8,,2009-06-15
27,1,2009,61.56666666666667,37.08090744830355,30.8,17.301575988757275,15.8,3.8,5.739108860069528,166.03333333333333,60.8,81.75705961452263,21.892940385477367,30.8,9.9,7,,2009-06-15
28,1,2009,46.2,28.337763238601514,28.2,15.604692291964835,15.1,4.6,4.51466129717394,163.03333333333333,45.166666666666664,64.03591682419659,18.634050094517956,28.2,8.866666666666667,13,,2009-06-15
29,1,2009,61.266666666666666,36.37443103107066,37.0,17.08105086087473,15.1,5.0,7.242871807985139,168.43333333333334,60.5,79.15394679459223,22.90887483645879,37.0,9.8,8,7.625,2009-06-15
30,1,2009,51.766666666666666,30.813492063492063,35.8,14.71919642857143,13.7,3.1,7.120910934934493,168.0,51.766666666666666,67.96498905908096,20.38144420131291,35.8,7.733333333333333,9,5.718518518518518,2009-06-15
1,2,2009,0.0,0.0,17.2,12.114897618052652,13.1,2.2,3.275868922827514,159.53333333333333,0.0,0.0,13.645437382001258,17.2,0.0,0,0.0,2009-06-22
