house_num,week,year,house_group,recording_status,overall_mean,overall_std,overall_median,overall_is_normal,daytime_mean,daytime_std,daytime_median,daytime_is_normal,daytime_hours,nighttime_mean,nighttime_std,nighttime_median,nighttime_is_normal,nighttime_hours
17,2,2009,control,control,10.11465155331654,4.071264636757319,11.3,False,11.857255343082112,2.94684205762559,12.6,False,59.266666666666666,9.077026121902211,4.288674032312472,8.8,False,99.53333333333333
18,2,2009,active,active,14.34727848101266,1.9153534377215233,14.6,False,15.616046145778709,1.3182648194808138,15.7,False,63.56666666666667,13.493222732086128,1.7764198065933292,14.0,False,94.43333333333334
19,2,2009,active,active,12.394899244332494,2.7377266457758016,13.2,False,13.963903743315509,2.138166696789672,14.3,False,62.333333333333336,11.38106427090532,2.601325297185771,12.3,False,96.46666666666667
20,2,2009,active,active,13.036490715626956,2.17767871686171,13.6,False,14.267735042735044,1.4671953918234337,14.4,False,62.4,12.24741526874358,2.192826332322213,13.1,False,97.36666666666666
21,2,2009,control,control,12.457921447484555,2.0576305934846917,13.0,False,13.500328947368422,1.4700543525858132,13.7,False,50.666666666666664,11.93187250996016,2.110823607010998,12.5,False,100.4
22,2,2009,active,active,13.670168776371309,1.9597017283510008,14.0,False,14.97533889468196,1.4588001318135626,15.3,False,63.93333333333333,12.783097094259388,1.749296078753859,13.6,False,94.06666666666666
23,2,2009,control,control,13.635958173282118,1.983837093948474,14.0,False,14.997805139186296,1.4812271076873247,15.3,False,62.266666666666666,12.73321504613201,1.7453331526885176,13.1,False,93.93333333333334
24,2,2009,active,active,14.096716480740897,1.9771392825360776,14.2,False,15.45252100840336,1.4528765203824243,15.6,False,63.46666666666667,13.1899894625922,1.7494668096163926,13.8,False,94.9
25,2,2009,control,control,11.723173277661795,3.145883227870225,12.8,False,13.649444150344097,2.3910056032307976,14.2,False,62.96666666666667,10.468872802481902,2.9377436341556606,11.9,False,96.7
26,2,2009,active,active,11.418323232323232,3.5884766540232147,11.9,False,13.342706502636204,3.2001365992784145,14.0,False,75.86666666666666,9.780366492146596,3.0477199342982746,10.7,False,89.13333333333334
27,2,2009,active,active,11.073489795918368,3.7222980017260525,11.7,False,13.144864864864864,3.3128677971913056,13.8,False,74.0,9.357649253731344,3.121829078231401,9.75,False,89.33333333333333
28,2,2009,control,control,10.622340425531915,3.7510159049481637,11.2,False,12.870025839793282,3.3844236469877056,13.6,False,64.5,8.72723311546841,2.902945316874766,8.5,False,76.5
29,2,2009,active,active,11.331623931623932,4.021153836098602,12.1,False,13.465324568611338,3.52763812504957,14.4,False,81.13333333333334,9.637194127243067,3.555920295508221,9.3,False,102.16666666666667
30,2,2009,control,control,11.514883148831489,4.222810711139074,13.0,False,13.861791590493603,3.5514627792519664,15.0,False,72.93333333333334,9.605947955390334,3.7358387543469247,8.850000000000001,False,89.66666666666667
